sku,product_id,status,before_handles,after_handles
HDB200-RD,gid://shopify/Product/15517531144265,already_ok,ct-gold | container-group-1 | container-group-7,ct-gold | container-group-1 | container-group-7
HDB200-WH,gid://shopify/Product/15517531144265,already_ok,ct-gold | container-group-1 | container-group-7,ct-gold | container-group-1 | container-group-7
HDB201-RD,gid://shopify/Product/15523986014281,needs_reorder,container-group-2 | container-group-8 | ct-gold,ct-gold | container-group-2 | container-group-8
HDB201-WH,gid://shopify/Product/15523986014281,already_ok,ct-gold | container-group-2 | container-group-8,ct-gold | container-group-2 | container-group-8
PLA105-GR,gid://shopify/Product/15517531177033,already_ok,ct-ndl | container-group-2 | container-group-8,ct-ndl | container-group-2 | container-group-8
PLA172-GR,gid://shopify/Product/15523955507273,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
PLA174-GR,gid://shopify/Product/15523955540041,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
PLA195-GR,gid://shopify/Product/15523955572809,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
PLA309-GR,gid://shopify/Product/15524045094985,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
PLA311-GR,gid://shopify/Product/15523955703881,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
PLA320-GR,gid://shopify/Product/15524021469257,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
PLA328-NA,gid://shopify/Product/15523955802185,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
PLA330-GR,gid://shopify/Product/15523955900489,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
PLA333-GR,gid://shopify/Product/15524042866761,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
PLA340-GR,gid://shopify/Product/15524042899529,needs_reorder,container-group-2 | container-group-7 | ct-ndl,ct-ndl | container-group-2 | container-group-7
PLA341-GR,gid://shopify/Product/15523955933257,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
PLA343-GR,gid://shopify/Product/15523955966025,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
PLA350-NA,gid://shopify/Product/15523955998793,needs_reorder,container-group-2 | container-group-7 | ct-ndl,ct-ndl | container-group-2 | container-group-7
PLA352-GR,gid://shopify/Product/15523956097097,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
PLA359-NA,gid://shopify/Product/15524043489353,needs_reorder,container-group-2 | container-group-7 | ct-ndl,ct-ndl | container-group-2 | container-group-7
PLA360-GB,gid://shopify/Product/15524042932297,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
PLA380-GR,gid://shopify/Product/15523956129865,needs_reorder,container-group-1 | container-group-7 | ct-ndl,ct-ndl | container-group-1 | container-group-7
PLA381-GR,gid://shopify/Product/15523956195401,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
PLA399-NA,gid://shopify/Product/15523956457545,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
PLA425-NA,gid://shopify/Product/15523956555849,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
PLA427-NA,gid://shopify/Product/15523956621385,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
PLA474-GC,gid://shopify/Product/15523956654153,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
PLA484-NA,gid://shopify/Product/15523956785225,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
PLA487-GR,gid://shopify/Product/15523992207433,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
PLA488-GB,gid://shopify/Product/15523992272969,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
PLA495-GR,gid://shopify/Product/15524021436489,needs_reorder,container-group-2 | container-group-7 | ct-ndl,ct-ndl | container-group-2 | container-group-7
PLA501-GB,gid://shopify/Product/15524022681673,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
PLA502-GB,gid://shopify/Product/15524022714441,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
PLA504-GB,gid://shopify/Product/15524022779977,needs_reorder,container-group-2 | container-group-8 | ct-ndl,ct-ndl | container-group-2 | container-group-8
TRA220-05,gid://shopify/Product/15523961602121,needs_reorder,container-group-2 | ct-ndl,ct-ndl | container-group-2
TRA220-06,gid://shopify/Product/15523961798729,needs_reorder,container-group-3 | ct-ndl,ct-ndl | container-group-3
TRA220-07,gid://shopify/Product/15523961995337,needs_reorder,container-group-3 | ct-ndl,ct-ndl | container-group-3
TRA311-05,gid://shopify/Product/15523962617929,needs_reorder,container-group-2 | ct-ndl,ct-ndl | container-group-2
TRA311-06,gid://shopify/Product/15523962749001,needs_reorder,container-group-3 | ct-ndl,ct-ndl | container-group-3
TRA311-07,gid://shopify/Product/15523962847305,needs_reorder,container-group-3 | ct-ndl,ct-ndl | container-group-3
TRC235-06,gid://shopify/Product/15523965567049,needs_reorder,container-group-3 | ct-ndl,ct-ndl | container-group-3
TRC235-07,gid://shopify/Product/15523965599817,needs_reorder,container-group-3 | ct-ndl,ct-ndl | container-group-3
TRC307-05,gid://shopify/Product/15523966091337,needs_reorder,container-group-2 | ct-ndl,ct-ndl | container-group-2
TRC307-65,gid://shopify/Product/15523966124105,needs_reorder,container-group-3 | ct-ndl,ct-ndl | container-group-3
TRC338-05,gid://shopify/Product/7303513079881,needs_reorder,container-group-2 | ct-ndl,ct-ndl | container-group-2
TRC338-06,gid://shopify/Product/15492967661641,needs_reorder,container-group-2 | ct-ndl,ct-ndl | container-group-2
TRC338-07,gid://shopify/Product/15524033134665,needs_reorder,container-group-3 | ct-ndl,ct-ndl | container-group-3
TRF295-06,gid://shopify/Product/15523966287945,needs_reorder,container-group-3 | ct-ndl,ct-ndl | container-group-3
TRF295-07,gid://shopify/Product/15523966320713,needs_reorder,container-group-3 | ct-ndl,ct-ndl | container-group-3
TRF313-05,gid://shopify/Product/15523966386249,needs_reorder,container-group-2 | ct-ndl,ct-ndl | container-group-2
TRF313-06,gid://shopify/Product/15523966451785,needs_reorder,container-group-3 | ct-ndl,ct-ndl | container-group-3
TRF313-07,gid://shopify/Product/15523966484553,needs_reorder,container-group-3 | ct-ndl,ct-ndl | container-group-3
TRM312-05,gid://shopify/Product/15523967369289,missing_free_option,container-group-2,container-group-2
TRM312-06,gid://shopify/Product/15523986440265,needs_reorder,container-group-3 | ct-ndl,ct-ndl | container-group-3
TRM312-07,gid://shopify/Product/15523986571337,needs_reorder,container-group-3 | ct-ndl,ct-ndl | container-group-3
TRM340-05,gid://shopify/Product/15524038869065,needs_reorder,container-group-2 | ct-ndl,ct-ndl | container-group-2
TRM340-06,gid://shopify/Product/15517531406409,needs_reorder,container-group-3 | ct-ndl,ct-ndl | container-group-3
TRM340-07,gid://shopify/Product/15524039196745,needs_reorder,container-group-3 | ct-ndl,ct-ndl | container-group-3
