Item #,Description ,C Group 1,C Group 2
HDB200-RD,Premier Poinsettia - Large - Red,1,7
HDB200-WH,Premier Poinsettia - Large - White,1,7
HDB201-RD,Premier Poinsettia - XL - Red,2,8
HDB201-WH,Premier Poinsettia - XL - White,2,8
PLA105-GR,Silver Queen,2,8
PLA172-GR,Double Spathiphyllum,2,8
PLA174-GR,Double Silver Queen,2,8
PLA195-GR,"32"" Spathiphyllum Plant",2,8
PLA309-GR,Olive Tree Plant,2,8
PLA311-GR,Ficus Bush - Ship/Shape,2,8
PLA320-GR,Bushy Ficus Plant,2,8
PLA328-NA,Double Croton Silk Floor Plant,2,8
PLA330-GR,Kenwood Grass Plant,2,8
PLA333-GR,Papyrus Grass - Ship/Shape,2,8
PLA340-GR,Feather Grass - Ship/Shape,2,7
PLA341-GR,Deluxe Fern,2,8
PLA343-GR,Grass Plant,2,8
PLA350-NA,Coastal Grass - Ship/Shape,2,7
PLA352-GR,Mixed Grass Plant,2,8
PLA359-NA,Serengeti Grass - Ship/Shape,2,7
PLA360-GB,"Mango, Dracaena & Begonia",2,8
PLA380-GR,"23"" ZZ Plant",1,7
PLA381-GR,4' ZZ Plant,2,8
PLA399-NA,Baja Agave & Echeveria,2,8
PLA425-NA,Croton,2,8
PLA427-NA,Baja Agave,2,8
PLA474-GC,Double Chinese Evergreen,2,8
PLA484-NA,Aspidistra & Croton,2,8
PLA487-GR,Olive Bush,2,8
PLA488-GB,Mango Plant,2,8
PLA495-GR,Paradise Palm - Ship/Shape,2,7
PLA501-GB,Aspidistra,2,8
PLA502-GB,Double Aspidistra,2,8
PLA504-GB,"Aspidistra, Palm & Silver King",2,8
TRA220-05,5' Greenhouse Ficus - Ship/Shape,2,
TRA220-06,6' Greenhouse Ficus - Ship/Shape,3,
TRA220-07,7' Greenhouse Ficus - Ship/Shape,3,
TRA311-05,5' Ficus Benjamina Tree - Ship/Shape,2,
TRA311-06,6' Ficus Benjamina Tree - Ship/Shape,3,
TRA311-07,7' Ficus Benjamina Tree - Ship/Shape,3,
TRC235-06,6' Reed Palm Tree - Ship/Shape,3,
TRC235-07,7' Reed Palm Tree - Ship/Shape,3,
TRC307-05,5' Areca Palm - Ship/Shape,2,
TRC307-65,6.5' Areca Palm - Ship/Shape,3,
TRC338-05,5' Bamboo Tree - Ship/Shape,2,
TRC338-06,6' Bamboo Tree - Ship/Shape,2,
TRC338-07,7' Bamboo Tree - Ship/Shape,3,
TRF295-06,6' Fiddle Leaf Fig Tree - Ship/Shape,3,
TRF295-07,7' Fiddle Leaf Fig Tree - Ship/Shape,3,
TRF313-05,5' Single Trunk Fiddle Leaf Fig Tree - Ship/Shape,2,
TRF313-06,6' Single Trunk Fiddle Leaf Fig Tree - Ship/Shape,3,
TRF313-07,7' Single Trunk Fiddle Leaf Fig Tree - Ship/Shape,3,
TRM312-05,5' Japanese Maple Tree - Ship/Shape,2,
TRM312-06,6' Japanese Maple Tree - Ship/Shape,3,
TRM312-07,7' Japanese Maple Tree - Ship/Shape,3,
TRM340-05,5' Mediterranean Olive Tree,2,
TRM340-06,6' Mediterranean Olive Tree,3,
TRM340-07,7' Mediterranean Olive Tree,3,